 Moyenne avec cache chaud 16:32
15119 1.99945e-09 2.27018e-10 8.80742 24 -4455 
16631 2.03283e-09 2.48911e-10 8.16687 24 6525 
18294 1.78358e-09 2.80483e-10 6.35897 24 -3600 
20124 1.84304e-09 3.03021e-10 6.08221 24 2070 
22136 1.83816e-09 2.59428e-10 7.08542 24 225 
24350 1.82136e-09 3.64216e-10 5.00076 24 2610 
26785 1.83222e-09 3.87966e-10 4.72264 24 -3150 
29463 1.87817e-09 3.88023e-10 4.84036 24 -3150 
32410 1.85402e-09 3.94401e-10 4.70084 24 10170 
8 5.10742e-10 8.0459e-09 0.0634786 26 -2160 
16 5.66895e-10 4.35449e-09 0.130186 26 -2385 
24 5.6543e-10 3.02279e-09 0.187056 26 -5175 
32 6.00586e-10 2.10742e-09 0.284986 26 -6660 
40 6.0293e-10 1.92148e-09 0.313783 26 -3060 
48 6.02376e-10 1.54346e-09 0.390277 26 -7425 
56 5.9933e-10 1.27999e-09 0.468229 26 4095 
64 5.93628e-10 1.09033e-09 0.544447 26 8415 
72 5.95595e-10 9.59961e-10 0.620436 26 4185 
80 5.87695e-10 8.70898e-10 0.674815 26 -10440 
88 5.94549e-10 7.64648e-10 0.777546 26 7380 
96 4.34705e-10 7.78047e-10 0.558714 26 -14265 
106 4.90718e-10 6.1714e-10 0.795149 26 -9180 
117 4.6181e-10 6.00894e-10 0.768539 26 -2295 
128 4.52699e-10 5.73135e-10 0.789864 26 3690 
141 4.5223e-10 4.99587e-10 0.905209 26 -8145 
155 4.97243e-10 4.38202e-10 1.13474 26 -7695 
171 4.68082e-10 4.07983e-10 1.14731 26 3105 
188 4.80427e-10 3.65436e-10 1.31467 26 -11115 
207 4.70382e-10 3.45773e-10 1.36038 26 -1755 
228 5.12016e-10 2.98939e-10 1.71278 26 9765 
251 4.66714e-10 2.72914e-10 1.71012 26 225 
276 6.28989e-10 2.57809e-10 2.43975 26 -1800 
303 5.1407e-10 2.44251e-10 2.10468 26 -7380 
334 6.29253e-10 2.26915e-10 2.77308 26 -11385 
367 6.78578e-10 1.97615e-10 3.43384 26 8190 
404 8.19248e-10 1.9026e-10 4.30594 26 11700 
444 8.98821e-10 1.81925e-10 4.94061 26 -720 
489 1.01664e-09 1.78933e-10 5.68169 26 -4770 
538 1.11278e-09 1.54637e-10 7.19606 26 10440 
591 1.16122e-09 1.25756e-10 9.23397 26 -5220 
651 1.18841e-09 1.30585e-10 9.10072 26 -2610 
716 1.19841e-09 1.1831e-10 10.1294 26 -7425 
787 1.19961e-09 1.10005e-10 10.9051 26 6390 
866 1.17333e-09 9.74079e-11 12.0455 26 -13770 
953 1.17293e-09 9.30774e-11 12.6017 26 -720 
1048 1.17028e-09 9.31702e-11 12.5607 26 -4770 
1153 1.16688e-09 9.35743e-11 12.4701 26 -2880 
1268 1.21233e-09 8.6318e-11 14.0449 26 -8145 
1395 1.1749e-09 7.80066e-11 15.0616 26 3510 
1535 1.21086e-09 7.6198e-11 15.8909 26 765 
